MFP_145;fr_COO2;fr_ester;MFP_656;MFP_597;qed;MFP_826;MFP_1360;MFP_82;MFP_1952;fr_thiophene;MFP_140;MFP_1970;VSA_EState5;MFP_419;MFP_699;MFP_1760;MFP_1697;MFP_1840;MFP_675;MFP_1104;MFP_162;MFP_1385;VSA_EState3;MFP_1844;MFP_1928;SMR_VSA1;MFP_124;SlogP_VSA4;MFP_389;fr_amidine;EState_VSA1;PEOE_VSA5;MFP_1624;MFP_117;MFP_1737;MFP_888;SMR_VSA6;PEOE_VSA14;MFP_1;MFP_623;MFP_695;MFP_504;EState_VSA5;EState_VSA9;MFP_1171;MFP_1901;MFP_58;MFP_1057;MFP_1344;MFP_1446;SlogP_VSA11;fr_NH0;MFP_255;AvgIpc;EState_VSA3;MFP_1748;fr_furan;MFP_1589;fr_piperzine;fr_ArN;SMR_VSA10;MFP_197;SMR_VSA3;SMR_VSA2;MFP_310;MFP_1126;fr_C_O;PEOE_VSA8;EState_VSA10;MFP_505;MFP_1141;MFP_1468;PEOE_VSA11;BCUT2D_CHGHI;MFP_1147;BCUT2D_MWLOW;MaxEStateIndex;NumRotatableBonds;TPSA;MFP_736;BCUT2D_MRLOW;MFP_2020;MFP_866;MFP_87;MFP_1062;MFP_1290;SMR_VSA4;BCUT2D_LOGPHI;MFP_935;MFP_1934;fr_urea;VSA_EState7;MFP_1573;MFP_250;PEOE_VSA10;MFP_283;MFP_1875;MFP_1666;MFP_218;MFP_1277;MFP_1065;fr_aniline;MFP_981;MFP_1958;FpDensityMorgan3;EState_VSA7;MFP_739;MFP_1410;MFP_79;MFP_875;MFP_638;MFP_1009;MFP_2016;MFP_333;SlogP_VSA12;EState_VSA2;MFP_1452;MFP_114;fr_pyridine;MFP_378;MFP_1305;MFP_919;MFP_1416;MFP_314;MFP_621;fr_Ar_N;MFP_1511;MFP_1866;NumAtomStereoCenters;MFP_1232;MFP_1917;MFP_119;MFP_1480;MFP_1321;MFP_1817;MFP_1199;BCUT2D_MRHI;MFP_930;MFP_622;MFP_233;NumHAcceptors;BCUT2D_LOGPLOW;MFP_561;PEOE_VSA6;MFP_807;MFP_295;PEOE_VSA2;SlogP_VSA10;NumAliphaticHeterocycles;MFP_1535;MFP_576;EState_VSA4;MFP_1609;MFP_1754;MFP_1063;VSA_EState6;MFP_2009;MFP_1431;MFP_1440;MFP_606;NumSaturatedHeterocycles;NHOHCount;MFP_1683;MFP_708;SlogP_VSA7;MFP_1990;MFP_679;MFP_978;MFP_1722;NumHeteroatoms;fr_amide;RingCount;VSA_EState2;SlogP_VSA5;MFP_1287;MFP_1214;EState_VSA8;MFP_1451;MFP_2011;MFP_718;MFP_1028;MFP_1190;MFP_1750;MFP_996;MFP_319;NumAliphaticRings;MFP_837;MFP_13;MFP_1325;MFP_322;MFP_1216;MFP_29;MFP_1155;MFP_1714;MFP_1247;MFP_392;MFP_637;MFP_1635;MFP_760;Smiles;pKi;source
12.23175483921488;0.139498748271615;2.526315789473684;10.034491252504798;2.28393919067552;2.3700267735149287;-2.4000911313388835;5.988620906407214;-0.3839314004967772;3.2479720527001668;17.7639906715055;11.266212550900168;5.687386274683562;20.932885480348617;0.0;31.18920547353706;44.46018557821275;9.66017400261772;39.164475710360215;10.818567211583044;14.45098789958904;5.733667477162185;13.08951281182515;5.687386274683562;5.749511833283905;0.0;20.932885480348617;43.64042512662719;0.0;147.15;4.923311048817671;10.114318268765572;23.37648428147304;61.32920679920253;22.16030441862652;0.0;52.78894898910212;6.06636706846161;26.273076163492487;18.51748586009457;29.802662310008028;1.5425777287287297;15.341492231973277;1.873781222822771;4.0;1.0;1.0;0.0;7.0;10.0;7.0;1.0;5.0;1.0;2.0;0.0;0.0;4.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;CCc1nc2c([N+](=O)[O-])c(OC3CCN(C(C)=N)CC3)ccc2n1Cc1ccc2ccc(C(=N)N)cc2c1;8.3;human
13.298123563861363;0.2847568662981264;2.419354838709677;9.971333212172608;2.3321845117025557;2.225335783851298;-2.545369552875812;5.861918794655657;-0.1446264481611348;2.7622738301427883;0.0;5.959554568743835;5.969305287951849;14.998357973935166;0.0;13.847474399381248;38.32483284054656;19.4324647167844;17.836039586047193;5.409283605791522;15.116608065707286;5.733667477162185;26.241151182250643;0.0;0.0;0.0;5.409283605791522;71.63486900571536;0.0;131.98000000000002;12.011146117099807;14.69560176298435;36.475203967065575;13.151638370425491;64.45608579523324;0.0;23.647293861082204;5.316788604006331;15.879814036753755;28.446793519298662;20.143117140529263;-0.9239925938957444;-0.4454382869564217;7.139874942556046;5.0;2.0;2.0;2.0;5.0;9.0;11.0;2.0;2.0;0.0;0.0;1.0;2.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;CCC(CC)N[C@@H](CC(=O)O)C(=O)N1CCCC[C@H]1CCOC1CCN(C(=N)N)CC1;5.85;human
14.143957117999086;0.1628601743482687;2.323529411764706;9.871829042303352;2.290777691523895;2.2920148447668165;-2.3206130187373346;7.135020713944204;-0.123427525909958;3.2285847865785917;10.712766979458568;11.5667326743298;11.9386105759037;10.203820789863345;11.336785877934735;13.847474399381248;21.542975429478638;28.61741694853104;40.70558224363077;5.409283605791522;0.0;11.148657946558965;5.316788604006331;10.077801322358384;5.749511833283905;11.336785877934735;16.641494916234198;44.31774613832148;0.0;142.57;23.17082188634637;18.774026599890284;33.49636152548797;12.10820789760957;22.280300140097648;36.39820241076966;0.0;5.316788604006331;20.98634143159446;37.16566427293687;19.05897322073592;-3.469925091900322;12.69935392440025;0.3250586932941735;5.0;0.0;0.0;0.0;6.0;10.0;8.0;0.0;3.0;1.0;0.0;1.0;3.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;CC(C)(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2F)s1)C(=O)Nc1ccc(C(=O)O)cc1;8.54;human
14.186168431857112;0.1755411649661004;2.5142857142857142;9.819965059768023;2.3578881723674403;2.30496524111684;-2.5059610341228957;7.135008790116084;-0.1451022657295355;3.2627375144402286;16.75460780860653;11.5667326743298;11.9386105759037;10.203820789863345;11.336785877934735;33.10993926815928;15.855589154795071;28.61741694853104;35.01819596894721;5.409283605791522;5.316788604006331;17.066563992720358;0.0;4.39041504767482;5.749511833283905;11.336785877934735;22.559400962395596;66.06386557718272;0.0;142.57;29.21266271549433;23.880553994730988;40.27163770287838;0.0;54.3844082547277;12.13273413692322;0.0;5.316788604006331;15.879814036753755;38.27779460261896;19.74710208822989;-3.601799458044637;5.953617375220446;4.869683406874895;5.0;0.0;1.0;1.0;6.0;10.0;9.0;0.0;3.0;1.0;0.0;1.0;3.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;CC(C)(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2F)s1)C(=O)N[C@H](C(=O)O)C1CCCCC1;8.52;human
14.063038209839949;0.2016244218489055;2.6;9.872318910489422;2.4838017516835382;2.3290620060735034;-2.338414877528126;7.135004638161436;-0.1421236741778627;3.3406237868622544;16.75460780860653;11.5667326743298;11.9386105759037;10.203820789863345;11.336785877934735;13.847474399381248;15.855589154795071;28.61741694853104;35.01819596894721;5.409283605791522;4.899909730850478;11.148657946558965;6.544756405912575;4.39041504767482;5.749511833283905;11.336785877934735;16.641494916234198;33.95975746255266;0.0;133.55;29.21266271549433;18.774026599890284;34.47766643970355;6.4208216229260096;22.280300140097648;23.09901093623531;0.0;0.0;20.98634143159446;38.15473392600919;16.28309221698956;-3.432925166146989;6.054792939762848;0.3137784852232905;4.0;1.0;1.0;1.0;6.0;10.0;7.0;1.0;3.0;1.0;0.0;1.0;3.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;CC(C)(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2F)s1)C(=O)N1C[C@H]1C(=O)O;9.02;human
14.203861496588496;0.0978714927774949;2.4571428571428573;9.774934291967586;2.350964441571257;2.3407395336453534;-2.417299532279898;7.135016830104696;-0.1368773408370162;3.287382304289421;10.712766979458568;11.5667326743298;11.9386105759037;14.998357973935164;11.336785877934735;20.268296022307258;23.40617671423688;28.61741694853104;35.01819596894721;5.409283605791522;5.316788604006331;11.148657946558965;6.544756405912575;4.39041504767482;5.749511833283905;11.336785877934735;16.641494916234198;72.48468720010872;0.0;142.57;23.17082188634637;18.774026599890284;34.35373165671699;38.64886452054263;17.36433588508892;23.46952001485796;13.847474399381248;5.316788604006331;20.98634143159446;37.26155795772609;19.019128912288043;-2.929549384339305;7.057477259485613;3.815248454583196;5.0;0.0;0.0;0.0;6.0;10.0;14.0;0.0;2.0;1.0;0.0;1.0;3.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;CCC(CC)(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2F)s1)C(=O)NCCCCCC(=O)O;8.1;human
14.153048705614523;0.1628601743482687;2.5;9.870761545875006;2.298260830867872;2.2965038868774568;-2.325998409387105;7.135022298698404;-0.123425944060403;3.227043352232175;10.712766979458568;11.5667326743298;11.9386105759037;10.203820789863345;11.336785877934735;25.980208536304467;15.855589154795071;28.61741694853104;40.70558224363077;5.409283605791522;0.0;11.148657946558965;5.316788604006331;10.077801322358384;5.749511833283905;11.336785877934735;16.641494916234198;44.31774613832148;0.0;142.57;23.17082188634637;23.880553994730988;45.60456942309754;4.877147193701299;17.403152946396347;30.33183534230805;0.0;5.316788604006331;15.879814036753755;37.62247264861112;19.286643607153422;-3.7138714617137527;12.91820952242899;0.271515871844606;5.0;0.0;0.0;0.0;6.0;10.0;8.0;0.0;3.0;1.0;0.0;1.0;3.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;CC(C)(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2F)s1)C(=O)Nc1ccccc1C(=O)O;8.44;human
14.157376796327934;0.135308903318536;2.4571428571428573;9.871551483869398;2.2937304191341554;2.2995290714917207;-2.321317613506076;7.135023043047437;-0.1234294319320128;3.219933863516338;16.462278812742472;11.5667326743298;11.9386105759037;10.203820789863345;11.336785877934735;13.847474399381248;27.609342497940244;33.72394434337174;40.70558224363077;5.409283605791522;0.0;11.148657946558965;5.316788604006331;10.077801322358384;11.49902366656781;11.336785877934735;16.641494916234198;44.31774613832148;0.0;162.8;29.07800161569788;23.880553994730988;45.44690152702994;4.877147193701299;23.46952001485796;30.33183534230805;0.0;5.316788604006331;20.98634143159446;37.34849904504522;28.759482718524115;-4.206922967480413;10.272591976809425;0.2391399585163114;6.0;0.0;0.0;0.0;7.0;11.0;8.0;0.0;3.0;1.0;0.0;1.0;3.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;CC(C)(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2F)s1)C(=O)Nc1cc(O)cc(C(=O)O)c1;9.74;human
12.264571295741028;0.3918386481307292;2.4814814814814814;10.007863916643508;2.247201477693856;2.204171611506032;-2.2049665327595243;6.04251438330718;-0.1180916259668532;3.099638917058371;17.77520595926284;0.0;0.0;15.613104395654863;0.0;35.48754806905859;28.79856237270056;9.632125767808455;28.97749057832031;10.818567211583044;0.0;16.623047681074908;5.316788604006331;5.687386274683562;0.0;0.0;10.818567211583044;29.531997720943004;0.0;150.42999999999998;0.0;4.794537184071822;30.10320731154036;23.235110881003564;11.2751364944677;0.0;6.06636706846161;10.47250133075687;27.12349074964405;17.64330859312912;21.80740977853341;-0.2863135216008379;13.998460559521476;0.2670014487276391;7.0;1.0;1.0;1.0;5.0;8.0;6.0;0.0;3.0;2.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N=C(N)c1cccc(NC(=O)CC2CC(c3cccc(C(=N)N)c3)=NO2)c1;5.920818753952375;human
11.802160966238349;0.6477041125566162;2.3;10.115455366186476;2.0582864486495813;2.0679909694680267;-2.072286740229408;5.888785143573488;0.0500377161435249;2.5224008459725367;0.0;0.0;5.969305287951849;0.0;0.0;42.46456947923127;6.544756405912575;9.53140013787187;5.969305287951849;0.0;0.0;5.733667477162185;6.606881964512918;0.0;0.0;0.0;0.0;27.90571328208882;0.0;52.32000000000001;0.0;4.794537184071822;5.969305287951849;18.71508986212249;18.40509473754901;5.563451491696996;30.33183534230805;12.13273413692322;10.470530430962237;11.802160966238349;0.0;-0.2762656420592924;17.375507534347893;1.7468931440166109;2.0;0.0;0.0;0.0;3.0;3.0;6.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;NCc1ccc(C(=O)OCCCc2ccccc2)cc1;0.3009999999973757;human
