"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL176813";"";"None";"482.63";"1";"5.31";"7g";"CCCc1nc2ccc(OC3CCN(C(C)=N)CC3)cc2n1Cc1ccc2ccc(C(=N)N)cc2c1";"Ki";"'='";"6.8";"nM";"8.17";"";"";"UO_0000065";"16.92";"0.31";"2.86";"7.85";"0";"CHEMBL815753";"In vitro inhibitory activity against bovine cationic trypsin";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL3769";"Serine protease 1";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1133358";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2000";"None";"";"";"";"6.8"
"CHEMBL1161255";"";"None";"584.78";"1";"4.55";"65";"CC(C)c1cc(C(C)C)c(S(=O)(=O)N[C@@H](Cc2cccc(C(=N)N)c2)C(=O)N2CCC[C@H](C(=O)O)C2)c(C(C)C)c1";"Ki";"'='";"2398.83";"nM";"5.62";"";"";"UO_0000065";"9.61";"0.19";"1.07";"3.66";"0";"CHEMBL821446";"Binding affinity towards trypsin";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL3769";"Serine protease 1";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1132189";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"5.62"
"CHEMBL288573";"";"None";"397.27";"0";"0.88";"4m";"NCCCCC1NC(=O)CNC(=O)c2cc(ccc2CBr)NC1=O";"Ki";"'='";"80000.0";"nM";"4.10";"";"";"UO_0000065";"10.31";"0.23";"3.22";"3.62";"0";"CHEMBL816811";"Apparent binding constant against bovine trypsin";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL3769";"Serine protease 1";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1126701";"1";"Scientific Literature";"J Med Chem";"1993";"None";"";"";"";"0.00008"
"CHEMBL150434";"";"None";"414.55";"1";"5.04";"6a";"N=C(N)c1ccc(/C=C2\CCCCCCC/C(=C\c3ccc(C(=N)N)cc3)C2=O)cc1";"Ki";"'='";"3000.0";"nM";"5.52";"";"";"UO_0000065";"13.32";"0.24";"0.48";"4.73";"0";"CHEMBL815005";"In vitro inhibition of bovine trypsin(Trp).";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL3769";"Serine protease 1";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1132552";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"3000.0"
"CHEMBL345710";"";"None";"402.45";"0";"2.79";"8a";"N=C(N)c1ccc(/C=C2\CC(C(=O)O)C/C(=C\c3ccc(C(=N)N)cc3)C2=O)cc1";"Ki";"'='";"880.0";"nM";"6.06";"";"";"UO_0000065";"15.05";"0.28";"3.27";"3.93";"0";"CHEMBL815005";"In vitro inhibition of bovine trypsin(Trp).";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL3769";"Serine protease 1";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1132552";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"880.0"
"CHEMBL43415";"";"None";"149.20";"0";"1.30";"11";"Cc1ccc(NC(=N)N)cc1";"Ki";"'='";"317687.41";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL815775";"log1/Ki value was calculated against Trypsin";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL3769";"Serine protease 1";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1125001";"1";"Scientific Literature";"J Med Chem";"1990";"None";"";"";"";"3.498"
"CHEMBL358970";"";"None";"478.62";"0";"3.27";"4";"CC1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2ccc3ccccc3c2)CC1";"Ki";"'='";"141.25";"nM";"6.85";"";"";"UO_0000065";"14.31";"0.28";"3.58";"5.89";"0";"CHEMBL821446";"Binding affinity towards trypsin";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL3769";"Serine protease 1";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1132189";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"6.85"
"CHEMBL356580";"";"None";"550.68";"1";"3.20";"49";"CC(C)OC(=O)[C@H]1CCCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2ccc3ccccc3c2)C1";"Ki";"'='";"426.58";"nM";"6.37";"";"";"UO_0000065";"11.57";"0.22";"3.17";"4.47";"0";"CHEMBL821446";"Binding affinity towards trypsin";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL3769";"Serine protease 1";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1132189";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"6.37"
"CHEMBL319615";"";"None";"840.04";"2";"5.07";"4a";"Cc1ccc(S(=O)(=O)N/C(N)=N\CCC[C@H](NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)N(C)C(=O)OCc2ccccc2)C(O)c2nc3ccccc3s2)cc1";"Ki";"'>'";"150000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL815751";"Inhibition of bovine trypsin";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL3769";"Serine protease 1";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1129256";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";"";"";"150000.0"
"CHEMBL48233";"";"None";"372.47";"0";"3.86";"1a";"N=C(N)c1ccc(/C=C2\CCCC/C(=C\c3ccc(C(=N)N)cc3)C2=O)cc1";"Ki";"'='";"280.0";"nM";"6.55";"";"";"UO_0000065";"17.59";"0.32";"2.69";"5.61";"1";"CHEMBL815005";"In vitro inhibition of bovine trypsin(Trp).";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL3769";"Serine protease 1";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1132552";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"280.0"
"CHEMBL165781";"";"None";"494.62";"0";"3.23";"4";"N/C(=N\O)c1ccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCCCCC2)cc1";"Ki";"'='";"316000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL817590";"Inhibitory effect of compound was measured in bovine trypsin";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL3769";"Serine protease 1";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1129885";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"316.0"
"CHEMBL1161244";"";"None";"465.58";"0";"1.45";"48";"N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCNCC2)c1";"Ki";"'='";"219.79";"nM";"6.66";"";"";"UO_0000065";"14.30";"0.28";"5.21";"5.19";"0";"CHEMBL821446";"Binding affinity towards trypsin";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL3769";"Serine protease 1";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1132189";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"6.658"
"CHEMBL101672";"";"None";"456.55";"0";"4.43";"6";"N=C(N)c1ccc(OCCCCCOc2ccc(-c3nc4cc(C(=N)N)ccc4[nH]3)cc2)cc1";"Ki";"'='";"1440.0";"nM";"5.84";"";"";"UO_0000065";"12.80";"0.23";"1.41";"3.98";"0";"CHEMBL817581";"Inhibition constant against bovine trypsin";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL3769";"Serine protease 1";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1122336";"1";"Scientific Literature";"J Med Chem";"1983";"None";"";"";"";"1.44"
"CHEMBL71175";"";"None";"463.45";"0";"2.12";"16a";"CN(C)C(=O)c1cccc(Oc2nc3c(c(Oc4cc(C(=N)N)ccc4O)n2)NC(=O)CN3)c1";"Ki";"'='";"320.0";"nM";"6.50";"";"";"UO_0000065";"14.01";"0.26";"4.37";"3.69";"0";"CHEMBL817575";"Compound was tested for inhibitory activity against bovine trypsin";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL3769";"Serine protease 1";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1130936";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1998";"None";"";"";"";"320.0"
"CHEMBL7213";"";"None";"548.71";"1";"2.81";"10c";"Cc1cc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H](NS(C)(=O)=O)C(c2ccccc2)c2ccccc2)ccc1CN";"Ki";"'='";"110.0";"nM";"6.96";"";"";"UO_0000065";"12.68";"0.24";"4.15";"5.72";"0";"CHEMBL817758";"Binding affinity against bovine trypsin";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL3769";"Serine protease 1";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1135262";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"None";"";"";"";"110.0"
"CHEMBL343892";"";"None";"522.63";"1";"2.43";"9";"COC(=O)C1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2ccc3ccccc3c2)CC1";"Ki";"'='";"35.97";"nM";"7.44";"";"";"UO_0000065";"14.24";"0.27";"5.01";"5.22";"0";"CHEMBL821446";"Binding affinity towards trypsin";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL3769";"Serine protease 1";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1132189";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"7.444"
"CHEMBL358491";"";"None";"414.53";"0";"1.79";"46";"Cc1ccc(S(=O)(=O)N[C@@H](Cc2cccc(C(=N)N)c2)C(=O)N2CCCC2)cc1";"Ki";"'='";"2197.86";"nM";"5.66";"";"";"UO_0000065";"13.65";"0.27";"3.87";"4.86";"0";"CHEMBL821446";"Binding affinity towards trypsin";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL3769";"Serine protease 1";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1132189";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"5.658"
"CHEMBL609702";"";"None";"180.17";"0";"0.90";"10";"N=C(N)Nc1ccc([N+](=O)[O-])cc1";"Ki";"'='";"352370.87";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL815775";"log1/Ki value was calculated against Trypsin";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL3769";"Serine protease 1";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1125001";"1";"Scientific Literature";"J Med Chem";"1990";"None";"";"";"";"3.453"
"CHEMBL1159685";"";"None";"744.84";"1";"3.54";"11h";"N=C(N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H](NS(=O)(=O)NC2CCCCC2)C(c2ccccc2)c2ccccc2)cc1.O=C(O)C(F)(F)F";"Ki";"'='";"0.25";"nM";"9.60";"";"";"UO_0000065";"15.22";"0.29";"6.06";"6.10";"0";"CHEMBL817758";"Binding affinity against bovine trypsin";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL3769";"Serine protease 1";"Bos taurus";"SINGLE PROTEIN";"CHEMBL1135262";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"None";"";"";"";"0.25"
