Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value,pKi
CHEMBL137269,,,371.18,0.0,2.69,Lactone IIb,N=C(N)Nc1ccc(C2CC(=O)O/C(=C\I)C2)cc1,Ki,'=',4280.0,nM,5.37,,,UO_0000065,14.46,0.39,2.68,6.09,0,CHEMBL817576,Compound was tested for its binding affinity against the enzyme trypsin,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1125358,1,Scientific Literature,J Med Chem,1992,,,,,4.28,5.37
CHEMBL266196,,,465.62,0.0,3.59,4,CN(C(=O)[C@H](Cc1ccc(CN)cc1)NS(=O)(=O)c1ccc2ccccc2c1)C1CCCC1,Ki,'=',13600.0,nM,4.87,,,UO_0000065,10.45,0.2,1.28,5.26,0,CHEMBL817623,Binding affinity towards bovine trypsin was evaluated in vitro,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1130583,1,Scientific Literature,Bioorg Med Chem Lett,1998,,,,,13600.0,4.87
CHEMBL94336,,,372.47,0.0,3.86,2a,N=C(N)c1ccc(/C=C2/CCCC/C(=C\c3ccc(C(=N)N)cc3)C2=O)cc1,Ki,'=',29.0,nM,7.54,,,UO_0000065,20.24,0.37,3.68,6.45,0,CHEMBL817625,Compound (isomer) was tested in the absence of light for inhibitory activity against trypsin.,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1131630,1,Scientific Literature,J Med Chem,1998,,,,,29.0,7.54
CHEMBL159816,,,460.52,0.0,3.95,15,CS(=O)(=O)c1ccccc1-c1ccc(NC(=O)c2conc2-c2cccc(C(=N)N)c2)cc1,Ki,'=',25.0,nM,7.6,,,UO_0000065,16.51,0.31,3.65,5.46,0,CHEMBL817587,Inhibitory activity against trypsin,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1133078,1,Scientific Literature,Bioorg Med Chem Lett,2000,,,,,25.0,7.6
CHEMBL151481,,,400.53,0.0,4.47,14b,CN(C)C(=N)c1ccc(/C=C2/CCCC/C(=C\c3ccc(C(=N)N)cc3)C2=O)cc1,Ki,'=',15.0,nM,7.82,,,UO_0000065,19.53,0.36,3.35,8.32,0,CHEMBL618434,In vitro inhibition of bovine trypsin(Trp).,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1132552,1,Scientific Literature,J Med Chem,1999,,,,,15.0,7.82
CHEMBL55035,,,372.47,0.0,3.86,1c,N=C(N)c1ccc(/C=C2/CCCC/C(=C/c3ccc(C(=N)N)cc3)C2=O)cc1,Ki,'=',33.0,nM,7.48,,,UO_0000065,20.09,0.36,3.62,6.4,1,CHEMBL618434,In vitro inhibition of bovine trypsin(Trp).,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1132552,1,Scientific Literature,J Med Chem,1999,,,,,33.0,7.48
CHEMBL3735513,,,1221.52,,,peptide8,CC(C)C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@H](CC2CCN(C(=N)N)CC2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](N)CSSC[C@@H](C(=O)O)NC(=O)[C@H](Cc2ccccc2)NC1=O,Ki,'=',18200.0,nM,4.74,,,UO_0000065,3.88,,,,0,CHEMBL3739088,Inhibition of bovine beta-trypsin after 15 mins using Bz-Ile-Glu(g-OR)-Gly-Arg-p-nitroanilide as substrate,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL3734702,1,Scientific Literature,J Med Chem,2015,,,,,18.2,4.74
CHEMBL134926,,,245.28,0.0,1.93,2a,C=C1CC(c2ccc(NC(=N)N)cc2)CC(=O)O1,Ki,'=',9400.0,nM,5.03,,,UO_0000065,20.49,0.38,3.1,5.7,0,CHEMBL817576,Compound was tested for its binding affinity against the enzyme trypsin,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1125358,1,Scientific Literature,J Med Chem,1992,,,,,9.4,5.03
CHEMBL24479,,,138.17,0.0,0.49,4,OCCNc1ccncc1,Ki,'>',500000.0,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL818253,Tested for the Inhibition of the catalytic activity of bovine trypsin at 25 degree C and pH 7.5.,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1150979,1,Scientific Literature,Bioorg Med Chem Lett,1997,,,,,500.0,3.3010299956639813
CHEMBL120162,,,442.46,0.0,-1.45,25,NC(N)=NCCCCNC(=O)[C@@H]1CS[C@H]2CC[C@H](N)C(=O)N21.O=C(O)C(F)(F)F,Ki,'=',3580.0,nM,5.45,,,UO_0000065,16.58,0.34,6.9,3.89,0,CHEMBL815750,In vitro inhibition was measured against Human bovine pancreatic trypsin.,B,BAO_0000357,single protein format,Bos taurus,,,,,,,,CHEMBL3769,Serine protease 1,Bos taurus,SINGLE PROTEIN,CHEMBL1131291,1,Scientific Literature,J Med Chem,1998,,,,,3.58,5.45
