Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value,pKi,source
CHEMBL93657,,,350.38,0.0,1.39,9,N=C(N)c1ccc(NC(=O)C2CC(c3cccc(C(=N)N)c3)=NO2)cc1,Ki,'=',700.0,nM,6.16,,,UO_0000065,17.57,0.32,4.76,4.09,0,CHEMBL879096,The compound was evaluated for inhibitory activity against Trypsin,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1129218,1,Scientific Literature,Bioorg Med Chem Lett,1997,,,,,0.7,6.16,human
CHEMBL147525,,,207.27,0.0,2.1,11 (table 3),CCCCOC(=O)c1ccc(CN)cc1,Ki,'=',909913272.63,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL858270,Inhibition of trypsin,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1132536,1,Scientific Literature,J Med Chem,1999,,,,,0.041,0.04100000000107461,human
CHEMBL13218,,,141.6,0.0,1.8,3 (table 3),NCc1ccc(Cl)cc1,Ki,'=',699841996.0,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL821444,The compound was tested for inhibition of the proteolytic enzyme trypsin.,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1132536,1,Scientific Literature,J Med Chem,1999,,,,,0.155,0.1550000000014108,human
CHEMBL355992,,,517.49,1.0,3.86,13b,COc1ccc(-n2nc(C(F)(F)F)cc2C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cn2)cc1,Ki,'>',1500.0,nM,,,,UO_0000065,,,,,0,CHEMBL817826,Tested in vitro for inhibition of human trypsin,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1145914,1,Scientific Literature,J Med Chem,2003,,,,,1500.0,5.823908740944319,human
CHEMBL94052,,,635.62,1.0,2.82,22,COCCC1(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)CC(c2cccc(C(=N)N)c2)=NO1.O=C(O)C(F)(F)F,Ki,'=',98.0,nM,7.01,,,UO_0000065,13.44,0.26,4.19,4.12,0,CHEMBL824706,Binding affinity towards trypsin obtained from human purified enzymes,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1132652,1,Scientific Literature,J Med Chem,1999,,,,,98.0,7.01,human
CHEMBL37857,,,495.61,0.0,3.83,6b,CC1CCCCN1C(=O)N(Cc1ccc(C(=N)NO)cc1)NS(=O)(=O)c1ccc2ccccc2c1,Ki,'=',45000.0,nM,4.35,,,UO_0000065,8.77,0.17,0.52,3.45,0,CHEMBL815009,In vitro inhibition of trypsin,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137966,1,Scientific Literature,Bioorg Med Chem Lett,2004,,,,,45.0,4.35,human
CHEMBL166602,,,416.49,0.0,2.17,4,Cc1cnc(NCCc2ccccc2)c(=O)n1CC(=O)NCc1ccn2ccnc2c1,Ki,'=',120000.0,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL817814,Inhibition of Trypsin,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1136608,1,Scientific Literature,Bioorg Med Chem Lett,2003,,,,,120000.0,3.9208187539523753,human
CHEMBL178616,,,538.6,1.0,4.65,9,COc1cc([C@@H](Nc2ccc(C(=N)N)cc2)C(=O)N[C@H](C(=O)O)c2ccccc2)ccc1OCc1ccccc1,Ki,'=',40.0,nM,7.4,,,UO_0000065,13.74,0.25,2.75,5.04,0,CHEMBL828075,The value of binding constant measured against human trypsin,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1144307,1,Scientific Literature,Bioorg Med Chem Lett,2005,,,,,0.04,7.4,human
CHEMBL96599,,,512.01,1.0,2.23,28,O=C1Cn2c(Cl)cnc(c2=O)N[C@@H](Cc2ccccc2)CNCCOCCOc2ccccc2CN1,Ki,'=',4600.0,nM,5.34,,,UO_0000065,10.42,0.2,3.11,5.01,0,CHEMBL817817,Inhibitory activity against human trypsin,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1136169,1,Scientific Literature,Bioorg Med Chem Lett,2003,,,,,4.6,5.34,human
CHEMBL42900,,,686.86,2.0,2.64,14,N=C(N)Nc1ccc(CNC(=O)N2CCN(C(=O)O[C@H]3CCC[C@@H](OC(=O)N4CCN(C(=O)NCCCCCN)CC4)CCC3)CC2)cc1,Ki,'=',129000.0,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL824723,Compound was evaluated for its inhibitory potency against trypsin,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1132784,1,Scientific Literature,Bioorg Med Chem Lett,2000,,,,,129.0,3.8894102897007508,human
CHEMBL68486,,,414.47,0.0,2.89,9i,N=C(N)c1ccc(O)c(/C=C/CNC(=O)c2ccc(-c3ccc(C(N)=O)cc3)cc2)c1,Ki,'=',1400.0,nM,5.85,,,UO_0000065,14.12,0.26,2.96,4.11,0,CHEMBL817143,In vitro inhibition of trypsin.,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1133371,1,Scientific Literature,Bioorg Med Chem Lett,2000,,,,,1400.0,5.85,human
CHEMBL327421,,,509.05,1.0,2.36,31,O=C1Cn2c(Cl)cnc(c2=O)N[C@@H](Cc2ccccc2)CNCCCNCCc2ccccc2CN1,Ki,'=',2100.0,nM,5.68,,,UO_0000065,11.15,0.22,3.32,5.67,0,CHEMBL817817,Inhibitory activity against human trypsin,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1136169,1,Scientific Literature,Bioorg Med Chem Lett,2003,,,,,2.1,5.68,human
CHEMBL95993,,,362.24,,,11,CN(CC(=O)N[C@@H](CCC/N=C\N)B(O)O)C(=O)CCc1ccccc1,Ki,'=',21.0,nM,7.68,,,UO_0000065,21.2,,,,0,CHEMBL811782,Compound was tested in vitro for inhibition of trypsin,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1149934,1,Scientific Literature,Bioorg Med Chem Lett,1996,,,,,21.0,7.68,human
CHEMBL423759,,,546.55,1.0,4.85,49,CS(=O)(=O)c1ccccc1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2ccccc2CCN)c(F)c1,Ki,'>',2500.0,nM,,,,UO_0000065,,,,,0,CHEMBL817826,Tested in vitro for inhibition of human trypsin,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1145914,1,Scientific Literature,J Med Chem,2003,,,,,2500.0,5.6020599913279625,human
CHEMBL76070,,,696.89,1.0,4.55,53,O=C(CCCCCn1ccnc1)N1CCN(C(=O)O[C@H]2CCC[C@@H](OC(=O)N3CCN(C(=O)CCCCCn4ccnc4)CC3)CCC2)CC1,Ki,'>',1000000.0,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL824723,Compound was evaluated for its inhibitory potency against trypsin,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1132784,1,Scientific Literature,Bioorg Med Chem Lett,2000,,,,,1000.0,3.0,human
CHEMBL558198,RAZAXABAN HYDROCHLORIDE,-1.0,564.93,1.0,4.25,Razaxaban hydrochloride,CN(C)Cc1nccn1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)c(F)c1.Cl,Ki,'>',10000.0,nM,,,,UO_0000065,,,,,0,CHEMBL826336,Binding affinity determined against human trypsin,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1145195,1,Scientific Literature,J Med Chem,2005,,,,,10000.0,5.0,human
CHEMBL116202,,,503.02,1.0,2.57,25,Cc1ccc(NS(=O)(=O)Cc2ccccc2)c(=O)n1CC(=O)NCc1cc(Cl)ccc1CCN,Ki,'=',37000.0,nM,4.43,,,UO_0000065,8.81,0.18,1.86,3.59,0,CHEMBL818017,Inhibitory constant evaluated against trypsin,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1136286,1,Scientific Literature,Bioorg Med Chem Lett,2003,,,,,37000.0,4.43,human
CHEMBL117365,,,425.51,0.0,2.42,22,Cc1ccc(NS(=O)(=O)Cc2ccccc2)c(=O)n1CC(=O)NCc1ccccc1,Ki,'=',466000.0,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL818017,Inhibitory constant evaluated against trypsin,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1136286,1,Scientific Literature,Bioorg Med Chem Lett,2003,,,,,466000.0,3.33161408331,human
CHEMBL115755,,,454.55,0.0,1.87,17,Cc1ccc(NS(=O)(=O)Cc2ccccc2)c(=O)n1CC(=O)NCc1ccc(CN)cc1,Ki,'=',1300.0,nM,5.89,,,UO_0000065,12.95,0.25,4.02,4.77,0,CHEMBL818017,Inhibitory constant evaluated against trypsin,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1136286,1,Scientific Literature,Bioorg Med Chem Lett,2003,,,,,1300.0,5.89,human
CHEMBL182597,,,453.97,0.0,3.93,29,CC(C)N1CCC(NC(=O)c2cc3ccccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,Ki,'>',100000.0,nM,,,,UO_0000065,,,,,0,CHEMBL827066,Inhibitory activity against coagulation factor trypsin,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL209,Serine protease 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137150,1,Scientific Literature,Bioorg Med Chem Lett,2004,,,,,100.0,4.0,human
