ligand_name;best_affinity_kcal_mol;output_pdbqt;log_file;success;Smiles;original_index;error
ligand_39;;;;False;O=C(CCCCCn1ccnc1)N1CCN(C(=O)O[C@H]2CCC[C@@H](OC(=O)N3CCN(C(=O)CCCCCn4ccnc4)CC3)CCC2)CC1;39;timeout
ligand_40;-7.771;../data/docking/results\ligand_40_out.pdbqt;../data/docking/results\ligand_40_log.txt;True;N=C(N)c1ccc(OCC[C@H]2CCCCN2C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)cc1;40;
ligand_42;-8.344;../data/docking/results\ligand_42_out.pdbqt;../data/docking/results\ligand_42_log.txt;True;Nc1cc[n+](Cc2ccc(OC(c3ccccc3)c3ccccc3)cc2)cc1;42;
ligand_43;-8.652;../data/docking/results\ligand_43_out.pdbqt;../data/docking/results\ligand_43_log.txt;True;Cn1c(CN2CCN(S(=O)(=O)c3cc4ccc(Cl)cc4s3)CC2=O)cc2cnccc21;43;
ligand_44;-7.942;../data/docking/results\ligand_44_out.pdbqt;../data/docking/results\ligand_44_log.txt;True;N[C@@H](C(=O)N1CCC[C@H]1C(=O)NCc1cc(Cl)ccc1OCC(=O)NC1CC1)C1CCCCC1;44;
ligand_45;;../data/docking/results\ligand_45_out.pdbqt;../data/docking/results\ligand_45_log.txt;False;CC(C)(C)OC(=O)Nc1cccc(-c2cccc(C(=O)N[C@@H](CCCN=C(N)N)B3O[C@@H]4CC5CC(C5(C)C)[C@]4(C)O3)c2)c1;45;
ligand_46;;;;False;NCc1ccc(CNC(=O)CCCC(=O)NCc2ccc(CNC(=O)CCCC(=O)NCc3ccc(CN)cc3)cc2)cc1;46;timeout
ligand_47;;;;False;N=C(N)Nc1ccc(CNC(=O)N2CCN(C(=O)O[C@H]3CCC[C@@H](OC(=O)N4CCN(C(=O)CCNc5ccncc5)CC4)CCC3)CC2)cc1;47;timeout
ligand_48;-6.491;../data/docking/results\ligand_48_out.pdbqt;../data/docking/results\ligand_48_log.txt;True;NCc1ccc(C(=O)Nc2ccccc2)cc1;48;
ligand_49;-9.016;../data/docking/results\ligand_49_out.pdbqt;../data/docking/results\ligand_49_log.txt;True;Cc1nc(N)ccc1CNC(=O)Cn1c(C)cc2c(c1=O)NC(=O)[C@H](Cc1ccccc1)C2;49;
ligand_50;;;;False;CN(CC(=O)NCc1ccc(CN)cc1)C(=O)OCc1ccc(COC(=O)N(C)CC(=O)NCc2ccc(CN)cc2)cc1;50;timeout
ligand_51;-9.679;../data/docking/results\ligand_51_out.pdbqt;../data/docking/results\ligand_51_log.txt;True;N=C(N)c1cccc(C(=O)N[C@@H](C(=O)N2CCN(C(=O)c3ccccc3)CC2)c2ccccc2)c1;51;
ligand_52;-8.592;../data/docking/results\ligand_52_out.pdbqt;../data/docking/results\ligand_52_log.txt;True;CNC(=O)C(=O)C(NC(=O)[C@@H]1CC[C@H]2CN(S(=O)(=O)Cc3ccccc3)CC(=O)N21)[C@H]1CC[C@H](N)CC1;52;
ligand_53;-7.38;../data/docking/results\ligand_53_out.pdbqt;../data/docking/results\ligand_53_log.txt;True;N=C(N)c1ccc2[nH]c(-c3ccccc3)nc2c1;53;
ligand_54;-7.511;../data/docking/results\ligand_54_out.pdbqt;../data/docking/results\ligand_54_log.txt;True;N=C(N)c1ccc(OC(=O)c2ccc(CCC(=O)N(CCC(=O)O)CC(=O)O)o2)cc1;54;
ligand_55;-8.577;../data/docking/results\ligand_55_out.pdbqt;../data/docking/results\ligand_55_log.txt;True;Cc1nc(N)ccc1CNC(=O)Cn1c(C)ccc(NS(=O)(=O)Cc2ccc(Cl)cc2)c1=O;55;
ligand_56;-8.532;../data/docking/results\ligand_56_out.pdbqt;../data/docking/results\ligand_56_log.txt;True;COc1cc(CNc2ccc(C(=N)N)cc2)ccc1OCc1ccccc1;56;
ligand_57;;../data/docking/results\ligand_57_out.pdbqt;../data/docking/results\ligand_57_log.txt;False;CC(=O)N[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCn1ccnc1[N+](=O)[O-])B1O[C@@H]2CC3CC(C3(C)C)[C@]2(C)O1;57;
