ligand_name;best_affinity_kcal_mol;output_pdbqt;log_file;success;Smiles;original_index;error;docking_pseudo_pKi;pKi;pKi_predicted
ligand_2;-9.448;../data/docking/results\ligand_2_out.pdbqt;../data/docking/results\ligand_2_log.txt;True;CCc1nc2cc(OC3CCN(C(C)=N)CC3)ccc2n1Cc1ccc(-c2ccc(C(=N)N)cc2)cc1;2;;6.929630289873985;6.82;6.948974854206191
ligand_3;-6.415;../data/docking/results\ligand_3_out.pdbqt;../data/docking/results\ligand_3_log.txt;True;CN(C(=O)C(Cc1ccc(CN)cc1)NS(=O)(=O)c1ccc2c(c1)CCCCC2)C1CCCC1;3;;4.705078144532346;5.2;5.156029009617899
ligand_4;-8.388;../data/docking/results\ligand_4_out.pdbqt;../data/docking/results\ligand_4_log.txt;True;Cc1cnc(NCCc2ccccc2)c(=O)n1CC(=O)NCc1cc(Cl)ccc1CN;4;;6.152173885633253;5.8;4.622183918826797
ligand_6;-8.6;../data/docking/results\ligand_6_out.pdbqt;../data/docking/results\ligand_6_log.txt;True;Cc1ccc(NC(=O)CCc2ccccc2)c(=O)n1CC(=O)NCC1CCN(C(=N)N)CC1;6;;6.307665166481399;6.03;5.681285543525632
ligand_7;-7.34;../data/docking/results\ligand_7_out.pdbqt;../data/docking/results\ligand_7_log.txt;True;c1ccc(COc2ccc(CNc3ccncc3)cc2)cc1;7;;5.383518874648079;3.632644078973981;4.009019285160751
ligand_8;-7.969;../data/docking/results\ligand_8_out.pdbqt;../data/docking/results\ligand_8_log.txt;True;COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(C2CCN(N4CCOCC4=O)CC2)CC3)cc1;8;;5.844858571126776;6.0;5.807858933553133
ligand_9;-7.616;../data/docking/results\ligand_9_out.pdbqt;../data/docking/results\ligand_9_log.txt;True;CC(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2)o1)C(=O)NCCC(=O)O;9;;5.585950919525854;8.75;8.75979333333333
ligand_10;-9.687;../data/docking/results\ligand_10_out.pdbqt;../data/docking/results\ligand_10_log.txt;True;CNS(=O)(=O)c1ccccc1-c1ccc(NC(=O)Cc2c[nH]c3ccc(C(=N)N)cc23)cc1;10;;7.10492470554713;6.92;6.586485994592184
ligand_11;-9.247;../data/docking/results\ligand_11_out.pdbqt;../data/docking/results\ligand_11_log.txt;True;CC(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2)o1)C(=O)NCCc1ccccc1;11;;6.78220695284343;8.24;8.681700000000001
ligand_12;-8.31;../data/docking/results\ligand_12_out.pdbqt;../data/docking/results\ligand_12_log.txt;True;Cc1nc(N)ccc1CNC(=O)Cn1c(C)ccc(NS(=O)(=O)Cc2ccccc2)c1=O;12;;6.094964829472144;5.5;5.502053918239553
ligand_13;-8.383;../data/docking/results\ligand_13_out.pdbqt;../data/docking/results\ligand_13_log.txt;True;CCC(CC)(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2F)s1)C(=O)N[C@@H](CCC(=O)O)c1nnn[nH]1;13;;6.148506638443438;8.48;8.724413333333334
ligand_14;-8.567;../data/docking/results\ligand_14_out.pdbqt;../data/docking/results\ligand_14_log.txt;True;COc1ccc(-n2nc(C)cc2C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)cc1;14;;6.283461335028623;5.823908740944319;5.7285013012393575
ligand_15;-8.547;../data/docking/results\ligand_15_out.pdbqt;../data/docking/results\ligand_15_log.txt;True;CCC1CCN(C(=O)C(Cc2nc3ccccc3s2)NS(=O)(=O)c2cccc3c2NCC(C)(C)C3)CC1;15;;6.268792346269364;3.585026652029182;4.910796258445099
ligand_17;-8.318;../data/docking/results\ligand_17_out.pdbqt;../data/docking/results\ligand_17_log.txt;True;COC(=O)CC(CCc1ccc(NS(=O)(=O)c2ccccc2)cc1)c1cccc(C(=N)N)c1;17;;6.100832424975847;6.21;6.91010148686112
ligand_20;-9.427;../data/docking/results\ligand_20_out.pdbqt;../data/docking/results\ligand_20_log.txt;True;COc1cc(C(Nc2ccc(C(=N)N)cc2)C(=O)NCc2ccccc2)ccc1OCc1ccccc1;20;;6.914227851676762;6.68;6.029348607292272
ligand_21;-8.255;../data/docking/results\ligand_21_out.pdbqt;../data/docking/results\ligand_21_log.txt;True;COc1cccc(S(=O)(=O)Nc2cccn(CC(=O)NCc3ccc(C(=N)N)cc3OC)c2=O)c1;21;;6.0546251103841815;7.92;6.795410661342429
ligand_23;-9.069;../data/docking/results\ligand_23_out.pdbqt;../data/docking/results\ligand_23_log.txt;True;COc1ccc(-n2c(=O)n3n(c2=O)C(C(=O)NC(CCCCN)C(=O)C(=O)NCCc2ccc(C(N)=O)cc2)C=CC3CC(C)C)cc1;23;;6.6516529528860255;9.55;7.526998789376644
ligand_24;-9.857;../data/docking/results\ligand_24_out.pdbqt;../data/docking/results\ligand_24_log.txt;True;O=C1c2c(c(C(F)(F)F)nn2-c2cc3ccccc3cc2F)CCN1C1CCN(N2CCOCC2=O)CC1;24;;7.229611110000833;6.0;5.530865611887231
ligand_25;-8.6;../data/docking/results\ligand_25_out.pdbqt;../data/docking/results\ligand_25_log.txt;True;N=C(N)c1ccc(O)c(/C=C/CNC(=O)c2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1;25;;6.307665166481399;5.82;6.086496596492058
ligand_29;-8.1;../data/docking/results\ligand_29_out.pdbqt;../data/docking/results\ligand_29_log.txt;True;COc1ccc(-n2nc(C(F)(F)F)cc2C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)c(CN)c1;29;;5.940940447499923;5.795880017344075;6.0183259018080575
ligand_31;-7.456;../data/docking/results\ligand_31_out.pdbqt;../data/docking/results\ligand_31_log.txt;True;c1ccc(COc2ccc(CCNc3ccncc3)cc2)cc1;31;;5.468599009451782;3.245651664288981;3.9513253608132737
ligand_32;-8.228;../data/docking/results\ligand_32_out.pdbqt;../data/docking/results\ligand_32_log.txt;True;COc1ccc(-n2nnnc2C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)cc1N;32;;6.034821975559181;5.795880017344075;5.6492544412391
ligand_33;-7.745;../data/docking/results\ligand_33_out.pdbqt;../data/docking/results\ligand_33_log.txt;True;N=C(N)c1ccc2[nH]c(-c3cc(Br)ccc3O)nc2c1;33;;5.680565897023074;4.85;5.482339606158033
ligand_34;-8.474;../data/docking/results\ligand_34_out.pdbqt;../data/docking/results\ligand_34_log.txt;True;CC(Cc1cc(C(=O)Oc2ccc(C(=N)N)cc2)cs1)C(=O)N[C@@H](CC(=O)O)C(=O)O;34;;6.2152505372980675;8.07;9.15233111111111
ligand_36;-8.724;../data/docking/results\ligand_36_out.pdbqt;../data/docking/results\ligand_36_log.txt;True;N=C(N)c1ccc(O)c(CN2CC[C@H](NS(=O)(=O)c3cc4cnccc4s3)C2=O)c1;36;;6.398612896788807;5.537602002101044;5.77782074233376
ligand_37;-9.321;../data/docking/results\ligand_37_out.pdbqt;../data/docking/results\ligand_37_log.txt;True;CS(=O)(=O)NCC1(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cn2)CC(c2ccc3onc(N)c3c2)=NO1;37;;6.836482211252689;5.2839966563652006;5.394858100387562
